author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;year_of_construction;kitchen_meters;district;street;house_number;underground
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/263631061/;Краснодар;rent;flat;9;15;3;100;130000;0;2007;-1;мкр. Центральный; Гимназическая;;
ID 96073979;unknown;https://krasnodar.cian.ru/rent/flat/307274237/;Краснодар;rent;flat;16;26;3;90;45000;0;2012;-1;мкр. Юбилейный; Генерала Шифрина;5;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/303526980/;Краснодар;rent;flat;16;26;3;80;180000;0;2019;-1;;;;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/300491386/;Краснодар;rent;flat;9;16;3;130;120000;0;-1;-1;мкр. Центральный; Кубанская Набережная;;
ID 116656944;homeowner;https://krasnodar.cian.ru/rent/flat/307407933/;Краснодар;rent;flat;4;14;3;70;40000;0;1998;15;мкр. Комсомольский; Тюляева;7;
Роника;real_estate_agent;https://krasnodar.cian.ru/rent/flat/304314281/;Краснодар;rent;flat;18;26;3;90;230000;0;2018;-1;мкр. Фестивальный; Совхозная;1к5;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307636568/;Краснодар;rent;flat;6;16;3;75;65000;0;2022;-1;мкр. 9-й километр; Ярославская;113;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/269853852/;Краснодар;rent;flat;2;25;3;90;240000;0;2017;-1;мкр. Фестивальный; Совхозная;;
Девел-Риэлт;real_estate_agent;https://krasnodar.cian.ru/rent/flat/304789844/;Краснодар;rent;flat;8;12;3;100;60000;0;2007;20;мкр. Фестивальный; Архитектора Ишунина;6;
ID 121008556;homeowner;https://krasnodar.cian.ru/rent/flat/307243668/;Краснодар;rent;flat;1;16;3;90;40000;0;2015;17;мкр. РИП;Гаражный переулок;9;
ЮГ-Риэлт;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307983019/;Краснодар;rent;flat;5;5;3;55.8;40000;0;1966;5.4;мкр. Центральный;Рашпилевская ;150;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/213430540/;Краснодар;rent;flat;12;24;3;120;90000;0;2015;-1;мкр. Центральный; Буденного;129;
Девел-Риэлт;real_estate_agent;https://krasnodar.cian.ru/rent/flat/278630583/;Краснодар;rent;flat;11;16;3;85;85000;0;2007;-1;мкр. Центральный; Кубанская Набережная;19;
ID 45001765;realtor;https://krasnodar.cian.ru/rent/flat/305832658/;Краснодар;rent;flat;1;9;3;88;50000;0;1994;10;мкр. имени Жукова;Кореновская ;41;
ID 2736436;unknown;https://krasnodar.cian.ru/rent/flat/307096057/;Краснодар;rent;flat;12;17;3;55;29000;0;2022;18;Прикубанский; Имени Героя Ростовского;8к3;
Артём Якубчик;realtor;https://krasnodar.cian.ru/rent/flat/306665528/;Краснодар;rent;flat;11;21;3;69.6;55000;0;2012;12;мкр. Юбилейный; Генерала Шифрина;5;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/303209654/;Краснодар;rent;flat;7;24;3;100;75000;0;2015;-1;мкр. Центральный; Буденного;;
Capital Mars;real_estate_agent;https://krasnodar.cian.ru/rent/flat/308007273/;Краснодар;rent;flat;2;5;3;59;40000;0;1962;6;Центральный; Ленина;50;
ID 68341591;homeowner;https://krasnodar.cian.ru/rent/flat/308063923/;Краснодар;rent;flat;3;17;3;65;40000;0;2021;-1;мкр. РИП;Московская ;137/1;
Capital Mars;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307914709/;Краснодар;rent;flat;15;25;3;55;40000;0;2023;16.8;Прикубанский; Имени Героя Георгия Бочарникова;4к2;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/213965265/;Краснодар;rent;flat;16;24;3;120;120000;0;2015;-1;мкр. Центральный; Буденного;129;
ID 121983700;homeowner;https://krasnodar.cian.ru/rent/flat/307550275/;Краснодар;rent;flat;5;5;3;62.4;35000;0;1978;6;мкр. Фестивальный; Атарбекова;43;
Премиальная Недвижимость;real_estate_agent;https://krasnodar.cian.ru/rent/flat/306841273/;Краснодар;rent;flat;1;19;3;74;85000;0;2020;28;мкр. Панорама; Героев-Разведчиков;6к3;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/246869102/;Краснодар;rent;flat;8;26;3;90;95000;0;2018;-1;мкр. Фестивальный; Совхозная;1к5;
ID 116656944;homeowner;https://krasnodar.cian.ru/rent/flat/307408488/;Краснодар;rent;flat;4;14;3;70;40000;0;1998;15;мкр. Комсомольский; Тюляева;7;
КАЯН - Отдел аренды жилой недвижимости;real_estate_agent;https://krasnodar.cian.ru/rent/flat/300724415/;Краснодар;rent;flat;11;17;3;79;50000;0;2015;47;мкр. Панорама; Героев-Разведчиков;12.янв;
ID 20144203;unknown;https://krasnodar.cian.ru/rent/flat/289881928/;Краснодар;rent;flat;3;5;3;65;35000;0;1974;-1;Западный; Дзержинского;103;
ID 43569269;homeowner;https://krasnodar.cian.ru/rent/flat/307852761/;Краснодар;rent;flat;1;5;3;84;45000;0;1973;-1;мкр. Аврора;Морская ;4;
КАЯН - Отдел аренды жилой недвижимости;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307484726/;Краснодар;rent;flat;4;16;3;74.2;45000;0;2012;14;мкр. Московский; Имени Николая Семеновича Котлярова;19;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/279932149/;Краснодар;rent;flat;12;24;3;80;80000;0;2017;19;мкр. Центральный; Кубанская Набережная;39;
ID 122071737;homeowner;https://krasnodar.cian.ru/rent/flat/307628711/;Краснодар;rent;flat;9;9;3;70;45000;0;2024;18;Прикубанский; Скандинавская;1к2;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/235498417/;Краснодар;rent;flat;3;6;3;100;80000;0;2013;-1;мкр. Немецкая Деревня; Баварская;8;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307965276/;Краснодар;rent;flat;2;9;3;70;44000;0;1981;-1;мкр. Комсомольский;Симферопольская ;44;
ID 50508787;homeowner;https://krasnodar.cian.ru/rent/flat/306180611/;Краснодар;rent;flat;8;10;3;66.5;37000;0;1997;8;мкр. Школьный; Школьная;13.фев;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/259029422/;Краснодар;rent;flat;10;24;3;105;80000;0;2012;-1;мкр. Кожзавод; Кожевенная;26;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/199200307/;Краснодар;rent;flat;10;24;3;95;100000;0;2015;-1;Центральный;Красная ;176лит1;
ID 81374680;homeowner;https://krasnodar.cian.ru/rent/flat/306226709/;Краснодар;rent;flat;3;18;3;70;65000;0;2022;12;Прикубанский; Григория Булгакова;10;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/308072740/;Краснодар;rent;flat;19;24;3;95;65000;0;2023;-1;мкр. Гидростроителей; Имени Валерия Гассия;4/7к4;
Девелопмент-Юг;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307311607/;Краснодар;rent;flat;10;16;3;84;55000;0;2005;14;мкр. Юбилейный; 70-летия Октября;17;
ID 81519640;homeowner;https://krasnodar.cian.ru/rent/flat/306985821/;Краснодар;rent;flat;2;18;3;92.3;53000;0;2018;12.4;мкр. Панорама;Восточно-Кругликовская ;42/3к2;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/256886317/;Краснодар;rent;flat;12;24;3;119;120000;0;2015;40;мкр. Центральный; Буденного;129;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/262099353/;Краснодар;rent;flat;7;25;3;90;90000;0;2018;-1;мкр. Фестивальный; Совхозная;1к1;
ID 119483327;homeowner;https://krasnodar.cian.ru/rent/flat/305204512/;Краснодар;rent;flat;17;18;3;100.3;70000;0;2016;-1;мкр. РИП;Московская ;125к1;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/287432442/;Краснодар;rent;flat;22;26;3;95;185000;0;2017;-1;мкр. Фестивальный; Совхозная;1к7;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/235671343/;Краснодар;rent;flat;14;24;3;110;120000;0;2015;-1;мкр. Центральный; Буденного;129;
ID 49910740;homeowner;https://krasnodar.cian.ru/rent/flat/307374998/;Краснодар;rent;flat;14;16;3;90;55000;0;2011;20;мкр. Дубинка; Имени Чехова;4;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/240612827/;Краснодар;rent;flat;12;18;3;105;70000;0;2016;-1;мкр. Центральный; Октябрьская;181/2;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/233908969/;Краснодар;rent;flat;7;25;3;100;90000;0;2016;-1;Центральный;Красная ;176лит1;
ID 11370139;homeowner;https://krasnodar.cian.ru/rent/flat/305830430/;Краснодар;rent;flat;2;5;3;91.29;49000;0;2000;13.9;мкр. Покровка; Промышленная;43В;
ID 122006293;realtor;https://krasnodar.cian.ru/rent/flat/307572186/;Краснодар;rent;flat;15;19;3;54;29960;0;2023;-1;Прикубанский; Имени Героя Ростовского;8к5;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/305837444/;Краснодар;rent;flat;15;21;3;150;300000;0;2018;-1;мкр. Центральный; Кубанская Набережная;3;
ID 120652291;realtor;https://krasnodar.cian.ru/rent/flat/307710938/;Краснодар;rent;flat;13;23;3;100;80000;0;2012;-1;мкр. Кожзавод; Кожевенная;26;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/222270479/;Краснодар;rent;flat;8;24;3;120;150000;0;2018;-1;Западный;Дальняя ;8к1;
КАЯН - Отдел аренды жилой недвижимости;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307092088/;Краснодар;rent;flat;4;9;3;63;45000;0;1970;9;мкр. Центральный;Аэродромная ;10.фев;
ID 115530603;homeowner;https://krasnodar.cian.ru/rent/flat/304619681/;Краснодар;rent;flat;9;21;3;85;60000;0;2021;15;мкр. ККБ; Домбайская;55;
ID 120652291;realtor;https://krasnodar.cian.ru/rent/flat/306150716/;Краснодар;rent;flat;15;23;3;120;70000;0;2009;-1;мкр. Центральный; Кубанская Набережная;37/10;
Самолет Плюс Степная;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307655130/;Краснодар;rent;flat;3;19;3;100;60000;0;2018;20;Прикубанский;Кореновская ;57к1;
ID 6469114;homeowner;https://krasnodar.cian.ru/rent/flat/306200243/;Краснодар;rent;flat;17;22;3;88;50000;0;2017;18;Прикубанский; Им. Героя Яцкова И.В.;15к2;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/306857866/;Краснодар;rent;flat;4;4;3;125;45000;0;1938;-1;Завод Измерительных Приборов мкр; Зиповская;1;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/288573748/;Краснодар;rent;flat;14;24;3;90;100000;0;-1;16;Центральный;Красная ;;
ID 119930571;homeowner;https://krasnodar.cian.ru/rent/flat/307088957/;Краснодар;rent;flat;5;24;3;87.6;57000;0;2010;15.5;Прикубанский; Достоевского;84/1;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307417714/;Краснодар;rent;flat;16;17;3;113;54000;0;2012;-1;мкр. 9-й километр; Циолковского;5;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/306373334/;Краснодар;rent;flat;8;12;3;108;64000;0;2005;-1;мкр. Фестивальный; Архитектора Ишунина;8;
Анна Скрябова;realtor;https://krasnodar.cian.ru/rent/flat/279738055/;Краснодар;rent;flat;7;24;3;105;70000;0;2018;-1;Западный;Гаражная ;79/1;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/290609410/;Краснодар;rent;flat;7;24;3;155;150000;0;2015;25;мкр. Центральный; Кубанская Набережная;33;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/239212187/;Краснодар;rent;flat;10;18;3;80;80000;0;2016;-1;мкр. Центральный; Октябрьская;181/2;
ID 64529515;unknown;https://krasnodar.cian.ru/rent/flat/307657638/;Краснодар;rent;flat;13;16;3;110;60000;0;2007;-1;мкр. Центральный; Кубанская Набережная;58;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/286592528/;Краснодар;rent;flat;4;26;3;115;140000;0;2018;20;мкр. Фестивальный; Совхозная;1к5;
Девел-Риэлт;real_estate_agent;https://krasnodar.cian.ru/rent/flat/284207896/;Краснодар;rent;flat;10;19;3;75;80000;0;2020;-1;Центральный;Садовая ;159;
ID 56946853;homeowner;https://krasnodar.cian.ru/rent/flat/305931179/;Краснодар;rent;flat;9;14;3;109;65000;0;2005;-1;мкр. Фестивальный;проспект Константина Образцова;22;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/308024602/;Краснодар;rent;flat;1;3;3;120;105000;0;-1;-1;мкр. Ипподром;Российская ;369А;
Девел-Риэлт;real_estate_agent;https://krasnodar.cian.ru/rent/flat/281720156/;Краснодар;rent;flat;6;24;3;110;70000;0;2012;-1;Западный; Имени П.М. Гаврилова;27;
