author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;year_of_construction;kitchen_meters;district;street;house_number;underground
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/273010066/;Краснодар;rent;flat;15;24;2;115;240000;0;2015;-1;мкр. Центральный; Буденного;129;
СТО ПРОЦЕНТОВ;real_estate_agent;https://krasnodar.cian.ru/rent/flat/308012863/;Краснодар;rent;flat;9;17;2;74;55000;0;2024;14;;;;
ID 45433350;homeowner;https://krasnodar.cian.ru/rent/flat/307919421/;Краснодар;rent;flat;8;18;2;60;52000;0;2018;14;мкр. Панорама; Им. Героя Сарабеева В.И.;5к3;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/272225574/;Краснодар;rent;flat;4;25;2;75;85000;0;2018;-1;мкр. Фестивальный; Совхозная;1к6;
ID 90533221;homeowner;https://krasnodar.cian.ru/rent/flat/307908509/;Краснодар;rent;flat;17;25;2;59.9;30000;0;2017;-1;Прикубанский; Им. Героя Яцкова И.В.;9к3;
КАЯН - Отдел аренды жилой недвижимости;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307944146/;Краснодар;rent;flat;4;5;2;51;25000;0;1980;6;мкр. Славянский; Красных Партизан;161/2;
ID 30897468;homeowner;https://krasnodar.cian.ru/rent/flat/291866076/;Краснодар;rent;flat;5;18;2;58;30000;0;2020;-1;Прикубанский; Боспорская;8;
ID 27633019;homeowner;https://krasnodar.cian.ru/rent/flat/307958873/;Краснодар;rent;flat;12;12;2;69;45000;0;2022;14.1;Прикубанский; Питерская;40к5;
ID 109725073;homeowner;https://krasnodar.cian.ru/rent/flat/307750279/;Краснодар;rent;flat;8;8;2;72;23000;0;2007;22;мкр. Восточно-Кругликовский;Восточно-Кругликовская ;60;
ID 20557212;homeowner;https://krasnodar.cian.ru/rent/flat/307860836/;Краснодар;rent;flat;3;8;2;110;60000;0;2009;9;мкр. Фестивальный; Архитектора Ишунина;9;
ID 122433344;homeowner;https://krasnodar.cian.ru/rent/flat/307980082/;Краснодар;rent;flat;16;16;2;86;120000;0;2015;30;мкр. Центральный; Буденного;129;
ID 92807060;homeowner;https://krasnodar.cian.ru/rent/flat/308095318/;Краснодар;rent;flat;6;24;2;61;40000;0;-1;10.2;Центральный;Красная ;;
ID 107582350;homeowner;https://krasnodar.cian.ru/rent/flat/293552574/;Краснодар;rent;flat;16;16;2;66;26000;0;2007;16;мкр. ККБ;Восточно-Кругликовская ;65;
ID 23036624;homeowner;https://krasnodar.cian.ru/rent/flat/307900913/;Краснодар;rent;flat;5;25;2;55.4;15000;0;2021;18.8;мкр. Гидростроителей; Автолюбителей;1Г;
ID 97110572;homeowner;https://krasnodar.cian.ru/rent/flat/307993545/;Краснодар;rent;flat;15;17;2;60;75000;0;2019;13.5;Прикубанский;Круговая ;4Вк2;
Екатерина Растопчина;realtor;https://krasnodar.cian.ru/rent/flat/307249539/;Краснодар;rent;flat;12;17;2;61.4;25000;0;2017;12.3;мкр. РИП; Евгении Жигуленко;11.фев;
ID 116992175;homeowner;https://krasnodar.cian.ru/rent/flat/302480640/;Краснодар;rent;flat;2;5;2;44.2;25000;0;1971;6.5;мкр. Дубинка;Ставропольская ;214;
Самолет Плюс Краснодар;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307987783/;Краснодар;rent;flat;7;18;2;85;60000;0;2016;12;Центральный;Красная ;176;
Надежда Голда;realtor;https://krasnodar.cian.ru/rent/flat/304584731/;Краснодар;rent;flat;10;17;2;68;15000;0;2010;15;мкр. имени Жукова; Александра Покрышкина;04.апр;
ID 104376625;homeowner;https://krasnodar.cian.ru/rent/flat/307894010/;Краснодар;rent;flat;14;15;2;60;25000;0;2012;10;Прикубанский; 3-я Целиноградская;2;
